Server,Defense,Average Duration (s),Average Bandwidth (MiB),Average Sent Bandwidth (MiB),Average Received Bandwidth (MiB),Average Number Sent,Average Number Received,DF Accuracy,RF Accuracy
ch-zrh-wg-005,Daita,27.75,4.08,1.55,2.52,1215,1838,0.62,0.68
ch-zrh-wg-005,Undefended,22.75,1.05,0.07,0.98,446,818,0.82,0.77
de-fra-wg-004,Daita,26.56,2.69,1.18,1.5,925,1095,0.8,0.78
de-fra-wg-004,Undefended,23.22,1.06,0.07,0.99,445,825,0.83,0.74
gb-lon-wg-008,Daita,26.69,2.99,1.14,1.85,892,1349,0.75,0.73
gb-lon-wg-008,Undefended,23.11,1.14,0.07,1.08,464,893,0.78,0.76
nl-ams-wg-002,Daita,24.27,3.21,1.12,2.09,876,1524,0.76,0.67
nl-ams-wg-002,Undefended,22.57,1.06,0.07,1.0,444,832,0.82,0.76
se-got-wg-001,Daita,24.45,2.63,1.03,1.61,802,1171,0.61,0.63
se-got-wg-001,Undefended,22.66,1.13,0.08,1.06,436,887,0.7,0.68
us-nyc-wg-601,Daita,26.99,2.92,0.96,1.96,752,1430,0.73,0.71
us-nyc-wg-601,Undefended,25.17,1.5,0.09,1.41,619,1158,0.75,0.63
